fra;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-05-26;83;15;98;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-26;447;311;778;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-27;7;16;23;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-27;20;25;45;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-27;53;30;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-27;38;42;80;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-27;67;44;111;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-27;49;39;89;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-27;37;34;71;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-27;26;35;61;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-27;50;31;81;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-27;73;11;84;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-27;420;307;732;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-28;11;9;20;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-28;24;28;52;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-28;49;50;101;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-28;46;42;91;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-28;48;45;94;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-28;35;31;66;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-28;24;28;54;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-28;21;17;40;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-28;44;21;66;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-28;44;6;50;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-28;347;277;644;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-29;11;11;28;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-29;15;26;42;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-29;43;40;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-29;40;27;67;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-29;32;36;68;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-29;51;26;79;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-29;30;23;53;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-29;23;24;48;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-29;37;23;60;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-29;36;12;48;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-29;318;249;597;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-30;9;5;15;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-30;7;20;29;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-30;23;61;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-30;26;37;63;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-30;20;29;51;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-30;18;15;34;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-30;14;12;26;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-30;9;12;22;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-30;18;8;26;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-30;18;3;21;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-30;162;202;372;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-31;3;3;6;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-31;7;18;25;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-31;16;34;51;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-31;13;22;35;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-31;9;11;20;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-31;6;8;15;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-31;6;5;11;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-31;6;3;11;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-31;3;7;10;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-31;2;2;4;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-31;71;113;188;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-01;2;3;5;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-01;4;9;13;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-01;10;32;42;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-01;11;10;21;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-01;10;10;20;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-01;13;12;25;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-01;1;5;6;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-01;3;9;12;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-01;10;3;13;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-01;11;4;15;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-01;75;97;176;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-02;19;13;32;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-02;24;11;36;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-02;63;44;107;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-02;56;21;77;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-02;51;58;110;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-02;48;39;87;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-02;38;35;73;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-02;37;23;61;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-02;54;28;82;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-02;64;14;79;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-02;454;287;745;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-03;5;8;15;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-03;19;17;39;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-03;56;35;91;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-03;62;36;104;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-03;52;31;86;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-03;43;32;75;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-03;27;29;56;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-03;25;31;56;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-03;55;32;87;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-03;45;7;52;672069.992695578;240510.613577276;90;912580.606272853
